couter;latency
0;0.0476721
1;0.178595
2;0.207184
3;0.0630251
4;7.07243
5;1.44406
6;0.0617766
7;1.38803
8;1.40613
9;0.986557
10;6.94608
11;6.99241
12;0.0885365
13;0.0364016
14;6.92737
15;3.74464
16;1.74283
17;1.66696
18;0.0759317
19;1.01604
20;3.58177
21;0.0468143
22;1.41189
23;1.66208
24;3.6068
25;0.992601
26;1.01126
27;3.64509
28;6.9283
29;3.68274
30;3.64837
31;1.65712
32;3.74098
33;1.01241
34;3.65939
35;13.3869
36;6.91836
37;6.90497
38;0.10503
39;0.172537
40;13.1907
41;0.207518
42;1.03813
43;1.06029
44;0.172382
45;6.91847
46;13.2597
47;1.42803
48;0.996656
49;1.02241
