couter;latency
0;2.71946
1;15.0297
2;1.58896
3;0.742633
4;8.84101
5;0.496518
6;1.80372
7;1.91234
8;1.75146
9;2.26792
10;0.688896
11;2.05709
12;2.65569
13;0.726209
14;2.16834
15;5.58797
16;5.21193
17;5.24223
18;0.550148
19;0.716234
20;2.21437
21;14.9398
22;15.0556
23;14.9376
24;0.509126
25;9.9949
26;15.1288
27;0.550418
28;0.64872
29;0.723895
30;0.748163
31;8.90847
32;0.593216
33;0.647284
34;0.801461
35;15.1612
36;0.524827
37;1.62649
38;0.635231
39;5.51545
40;15.0058
41;0.541119
42;15.0532
43;0.610571
44;0.501432
45;2.77866
46;2.72297
47;1.96903
48;0.678158
49;0.541221
