couter;latency
0;17.0024
1;27.1665
2;34.0103
3;37.1585
4;1.56781
5;30.0169
6;20.0384
7;1.47812
8;30.9774
9;17.5009
10;1.35963
11;27.368
12;14.4339
13;20.7598
14;30.3321
15;33.2068
16;20.8958
17;27.6072
18;15.5027
19;1.33091
20;31.578
21;16.3647
22;26.9798
23;45.2949
24;40.9508
25;38.3692
26;19.7105
27;2.05429
28;1.5413
29;34.4283
30;21.1219
31;14.5756
32;30.3479
33;16.8058
34;15.8202
35;1.32589
36;20.5953
37;20.237
38;1.42755
39;1.50741
40;34.1085
41;21.1148
42;30.7825
43;19.4813
44;12.6469
45;15.2605
46;16.7058
47;16.1663
48;40.0556
49;20.6057
