id; latecy; type
0; 4.88716; 5
1; 8.33069; 5
2; 2.50712; 5
3; 1.47625; 4
4; 1.4554; 4
5; 1.45602; 4
6; 1.43039; 4
7; 1.36972; 4
8; 1.37666; 4
9; 1.4785; 4
10; 1.49038; 4
11; 10.1548; 5
12; 5.64652; 3
13; 4.58403; 2
14; 10.0169; 5
15; 1.50813; 4
16; 9.20322; 5
17; 1.4263; 4
18; 1.46; 4
19; 1.51178; 4
20; 1.40548; 4
21; 1.43345; 4
22; 7.42552; 5
23; 1.44908; 4
24; 3.23328; 5
25; 11.5195; 3
26; 1.44589; 4
27; 1.41326; 4
28; 5.74791; 5
29; 1.45366; 4
30; 7.37714; 5
31; 1.48338; 4
32; 2.42666; 5
33; 6.49479; 5
34; 3.22206; 5
35; 81.2203; 2
36; 5.66075; 5
37; 1.45219; 4
38; 44.1374; 2
39; 6.22625; 5
40; 2.46114; 5
41; 17.1496; 2
42; 4.84017; 5
43; 7.38426; 5
44; 2.5576; 5
45; 1.71865; 4
46; 7.88735; 5
47; 1.78671; 4
48; 1.78365; 4
49; 1.79091; 4
50; 10.9756; 5
51; 1.84004; 4
52; 1.78254; 4
53; 1.77832; 4
54; 0.181586; 1
55; 8.90168; 5
56; 1.77126; 4
57; 9.07236; 5
58; 1.78758; 4
59; 6.61551; 5
60; 1.5705; 4
61; 11.3656; 5
62; 274.094; 2
63; 0.119476; 1
64; 1.7049; 4
65; 4.77881; 5
66; 1.78446; 4
67; 9.47906; 5
68; 1.77174; 4
69; 6.64948; 5
70; 6.62569; 5
71; 2.94011; 5
72; 1.79907; 4
73; 2.93812; 5
74; 3.84459; 5
75; 1.81699; 4
76; 1.74235; 4
77; 64.6506; 2
78; 1.74709; 4
79; 7.64068; 5
80; 41.7053; 3
81; 1.75591; 4
82; 1.76286; 4
83; 1.77134; 4
84; 1.76875; 4
85; 6.81267; 5
86; 1.83422; 4
87; 1.75985; 4
88; 8.64398; 5
89; 1.83678; 4
90; 10.6675; 5
91; 9.72722; 5
92; 1.8117; 4
93; 11.0173; 5
94; 56.1501; 3
95; 7.3703; 5
96; 2.06605; 4
97; 9.82142; 5
98; 1.65749; 4
99; 7.25809; 5
100; 1.69579; 4
101; 1.52916; 4
102; 1.57021; 4
103; 274.652; 2
104; 453.562; 2
105; 1.88853; 4
106; 4.36228; 5
107; 10.9784; 5
108; 2.03095; 4
109; 4.35404; 5
110; 11.0279; 5
111; 1.94152; 4
112; 1.93258; 4
113; 3.21965; 5
114; 1.92144; 4
115; 7.42111; 5
116; 12.715; 5
117; 1.89115; 4
118; 1.9268; 4
119; 12.8795; 5
120; 73.0315; 3
121; 1.93571; 4
122; 1.98597; 4
123; 1.94905; 4
124; 1.65128; 4
125; 3.86958; 5
126; 66.1378; 3
127; 1.66184; 4
128; 1.72147; 4
129; 1.62895; 4
130; 1.66315; 4
131; 2.02641; 4
132; 4.51791; 5
133; 60.973; 3
134; 1.67842; 4
135; 80.2972; 3
136; 1.60284; 4
137; 10.6498; 5
138; 1.95496; 4
139; 4.36537; 5
140; 2.02822; 4
141; 8.57767; 5
142; 1.99599; 4
143; 1.62054; 4
144; 1.62799; 4
145; 1.64094; 4
146; 8.19715; 5
147; 3.5068; 5
148; 3.88809; 5
149; 1.99358; 4
150; 1.9917; 4
151; 10.7132; 5
152; 12.7142; 5
153; 423.814; 2
154; 652.476; 2
155; 8.09561; 5
156; 2.00708; 4
157; 10.0681; 5
158; 1.9991; 4
159; 2.04365; 4
160; 2.06629; 4
161; 3.33062; 5
162; 83.3593; 3
163; 1.96528; 4
164; 5.18322; 5
165; 11.2349; 5
166; 6.35038; 5
167; 283.624; 2
168; 4.53011; 5
169; 8.43504; 5
170; 2.23199; 4
171; 5.03881; 5
172; 1.98975; 4
173; 1.91331; 4
174; 8.02973; 5
175; 2.04317; 4
176; 6.23043; 5
177; 5.51929; 5
178; 6.47608; 5
179; 2.11634; 4
180; 2.03307; 4
181; 153.967; 2
182; 9.28725; 5
183; 11.0126; 5
184; 9.39613; 5
185; 8.6057; 5
186; 2.00628; 4
187; 1.96946; 4
188; 1.93952; 4
189; 564.627; 2
190; 1.93053; 4
191; 1.9992; 4
192; 3.28146; 5
193; 11.7895; 5
194; 8.95286; 5
195; 6.10163; 5
196; 5.20772; 5
197; 4.21829; 5
198; 2.03167; 4
199; 107.776; 3
