id; latecy; type
0; 8.31563; 5
1; 10.6367; 5
2; 6.23923; 5
3; 3.11967; 5
4; 9.57089; 5
5; 35.6925; 2
6; 5.75232; 5
7; 5.21333; 5
8; 1.53314; 4
9; 1.47658; 4
10; 4.32438; 5
11; 1.44556; 4
12; 1.42654; 4
13; 7.55323; 5
14; 4.37135; 5
15; 1.50845; 4
16; 6.84893; 5
17; 9.03416; 5
18; 11.2037; 5
19; 21.7998; 3
20; 3.06593; 5
21; 1.82051; 4
22; 4.06454; 5
23; 1.78832; 4
24; 1.79844; 4
25; 153.926; 2
26; 5.29679; 5
27; 1.79308; 4
28; 9.31482; 5
29; 2.48738; 5
30; 25.0968; 3
31; 1.69642; 4
32; 1.74077; 4
33; 9.03391; 5
34; 7.28858; 5
35; 9.04439; 5
36; 1.84078; 4
37; 1.7815; 4
38; 169.758; 2
39; 1.77098; 4
40; 27.0823; 3
41; 4.05725; 5
42; 218.238; 2
43; 27.1123; 3
44; 4.86204; 5
45; 6.4922; 5
46; 1.71403; 4
47; 9.48715; 5
48; 6.74712; 5
49; 3.87173; 5
50; 1.77753; 4
51; 235.413; 2
52; 7.61469; 5
53; 1.76494; 4
54; 0.133699; 1
55; 4.83769; 5
56; 11.4671; 5
57; 1.77486; 4
58; 9.49583; 5
59; 1.76925; 4
60; 11.4662; 5
61; 104.11; 2
62; 11.9578; 5
63; 7.10722; 5
64; 0.177495; 1
65; 8.9539; 5
66; 9.75932; 5
67; 307.348; 2
68; 6.7174; 5
69; 10.5337; 5
70; 10.5339; 5
71; 9.55685; 5
72; 1.81458; 4
73; 1.75725; 4
74; 9.59656; 5
75; 1.83499; 4
76; 7.86116; 5
77; 1.83213; 4
78; 1.7941; 4
79; 11.8266; 5
80; 0.157924; 1
81; 1.80678; 4
82; 1.7591; 4
83; 1.78739; 4
84; 1.76708; 4
85; 1.76791; 4
86; 7.72688; 5
87; 7.78873; 5
88; 11.6249; 5
89; 5.8828; 5
90; 1.83382; 4
91; 1.82166; 4
92; 3.98414; 5
93; 1.83638; 4
94; 1.78141; 4
95; 5.86346; 5
96; 7.82242; 5
97; 1.82274; 4
98; 1.82193; 4
99; 1.80273; 4
100; 1.83032; 4
101; 8.91093; 5
102; 7.92286; 5
103; 1.78767; 4
104; 1.85281; 4
105; 1.79367; 4
106; 1.79651; 4
107; 7.72654; 5
108; 7.93357; 5
109; 6.06972; 5
110; 1.86897; 4
111; 1.79137; 4
112; 3.0498; 5
113; 376.573; 2
114; 1.8186; 4
115; 79.9431; 3
116; 1.84778; 4
117; 9.81777; 5
118; 7.81185; 5
119; 1.90456; 4
120; 0.188195; 1
121; 1.83446; 4
122; 8.7565; 5
123; 10.6824; 5
124; 9.68607; 5
125; 6.90624; 5
126; 5.00242; 5
127; 7.79533; 5
128; 1.81253; 4
129; 682.081; 2
130; 5.9719; 5
131; 6.08397; 5
132; 676.133; 2
133; 0.214596; 1
134; 3.26838; 5
135; 1.90905; 4
136; 1.9017; 4
137; 11.2832; 5
138; 2.02045; 4
139; 1.97722; 4
140; 12.053; 5
141; 3.23991; 5
142; 1.94512; 4
143; 10.9186; 5
144; 112.355; 3
145; 11.7779; 5
146; 7.26896; 5
147; 1.92288; 4
148; 1.947; 4
149; 3.2169; 5
150; 0.203761; 1
151; 1.85648; 4
152; 1.88389; 4
153; 6.10001; 5
154; 103.736; 3
155; 1.95268; 4
156; 1.89527; 4
157; 1.92002; 4
158; 4.1776; 5
159; 8.12119; 5
160; 1.9377; 4
161; 7.09617; 5
162; 7.18794; 5
163; 8.10396; 5
164; 172.007; 2
165; 6.0465; 5
166; 11.791; 5
167; 1.97289; 4
168; 0.23202; 1
169; 681.94; 2
170; 1.87942; 4
171; 1.91317; 4
172; 116.526; 3
173; 2.0305; 4
174; 6.39689; 5
175; 5.32801; 5
176; 1.91477; 4
177; 11.75; 5
178; 0.282771; 1
179; 8.93636; 5
180; 2.00465; 4
181; 126.681; 3
182; 3.61633; 5
183; 1.99237; 4
184; 296.315; 2
185; 10.7043; 5
186; 11.0501; 5
187; 2.01934; 4
188; 2.03957; 4
189; 8.97741; 5
190; 2.06237; 4
191; 1060.15; 2
192; 10.1237; 5
193; 1.7391; 4
194; 9.31994; 5
195; 10.2258; 5
196; 1.70823; 4
197; 1.75639; 4
198; 1.6724; 4
199; 1.64383; 4
