id; latecy; type
0; 3.62441; 5
1; 2.80176; 5
2; 1.70144; 4
3; 8.23834; 5
4; 4.99215; 5
5; 1.7491; 4
6; 11.2128; 5
7; 7.01018; 5
8; 1.6138; 4
9; 4.69738; 5
10; 1.59314; 4
11; 1.62509; 4
12; 1.60108; 4
13; 11.4869; 5
14; 1.62355; 4
15; 1.57768; 4
16; 10.6964; 5
17; 4.09077; 5
18; 1.7172; 4
19; 1.64621; 4
20; 1.57555; 4
21; 1.58624; 4
22; 5.67605; 5
23; 1.60489; 4
24; 11.265; 5
25; 1.52956; 4
26; 1.59413; 4
27; 10.1773; 5
28; 7.75085; 5
29; 1.59215; 4
30; 9.3588; 5
31; 7.46635; 5
32; 119.15; 2
33; 3.73303; 5
34; 1.70369; 4
35; 3.80485; 5
36; 6.62629; 5
37; 106.183; 2
38; 26.6614; 3
39; 10.4191; 5
40; 3.14268; 5
41; 1.8192; 4
42; 12.4009; 5
43; 7.54607; 5
44; 10.5161; 5
45; 1.7156; 4
46; 7.29685; 5
47; 1.85907; 4
48; 1.87792; 4
49; 8.38803; 5
50; 1.8854; 4
51; 1.93096; 4
52; 1.83894; 4
53; 1.90266; 4
54; 1.85009; 4
55; 6.4359; 5
56; 1.99311; 4
57; 1.9493; 4
58; 2.04172; 4
59; 2.02774; 4
60; 1.89738; 4
61; 1.90398; 4
62; 10.5747; 5
63; 2.00752; 4
64; 1.8668; 4
65; 1.8468; 4
66; 42.915; 3
67; 9.33869; 5
68; 9.19775; 5
69; 0.155408; 1
70; 9.32224; 5
71; 46.8636; 3
72; 0.137738; 1
73; 1.86317; 4
74; 1.82936; 4
75; 9.24601; 5
76; 1.89653; 4
77; 1.85815; 4
78; 4.33419; 5
79; 1.93006; 4
80; 3.14895; 5
81; 1.91558; 4
82; 11.6908; 5
83; 9.45521; 5
84; 10.0777; 5
85; 1.90744; 4
86; 1.87198; 4
87; 1.83736; 4
88; 1.84923; 4
89; 1.83139; 4
90; 9.27341; 5
91; 1.76107; 4
92; 4.26525; 5
93; 2.03791; 4
94; 9.33962; 5
95; 1.75629; 4
96; 8.48421; 5
97; 390.03; 2
98; 10.6973; 5
99; 3.22034; 5
100; 2.06697; 4
101; 3.26632; 5
102; 3.28409; 5
103; 2.07143; 4
104; 1.69963; 4
105; 1.68909; 4
106; 60.8552; 3
107; 1.72674; 4
108; 5.76648; 5
109; 10.5499; 5
110; 6.88165; 5
111; 1.8866; 4
112; 10.7009; 5
113; 10.8435; 5
114; 4.12519; 5
115; 1.88476; 4
116; 4.19924; 5
117; 1.84765; 4
118; 1.77614; 4
119; 5.24811; 5
120; 4.89476; 5
121; 9.00746; 5
122; 1.77586; 4
123; 1.77664; 4
124; 6.7413; 5
125; 1.8031; 4
126; 11.4065; 5
127; 0.226028; 1
128; 77.2814; 3
129; 2.00473; 4
130; 301.084; 2
131; 11.6352; 5
132; 0.260201; 1
133; 1.91343; 4
134; 641.269; 2
135; 12.7212; 5
136; 3.44764; 5
137; 12.0363; 5
138; 10.7196; 5
139; 5.59309; 5
140; 92.2827; 3
141; 2.06564; 4
142; 1.83607; 4
143; 88.0554; 3
144; 7.789; 5
145; 1.88424; 4
146; 1.80597; 4
147; 12.0258; 5
148; 3.92436; 5
149; 92.764; 3
150; 1.80877; 4
151; 1.8986; 4
152; 9.33929; 5
153; 3.31042; 5
154; 726.583; 2
155; 4.11486; 5
156; 1.82086; 4
157; 1.72648; 4
158; 1.81445; 4
159; 4.82342; 5
160; 1.81744; 4
161; 1.73955; 4
162; 3.42209; 5
163; 5.68616; 5
164; 0.224952; 1
165; 5.59366; 5
166; 3.53617; 5
167; 234.625; 2
168; 1.87072; 4
169; 8.91788; 5
170; 83.8354; 2
171; 1.89783; 4
172; 8.76519; 5
173; 1.87059; 4
174; 6.10176; 5
175; 10.0954; 5
176; 5.22129; 5
177; 6.26097; 5
178; 11.0576; 5
179; 0.27409; 1
180; 8.98967; 5
181; 3.23211; 5
182; 2.04324; 4
183; 12.0978; 5
184; 1.90534; 4
185; 1.92066; 4
186; 1.92621; 4
187; 1.91962; 4
188; 10.1652; 5
189; 0.275114; 1
190; 1.91817; 4
191; 2.20174; 4
192; 1.90802; 4
193; 10.112; 5
194; 1.94326; 4
195; 5.45508; 5
196; 1.93359; 4
197; 1.88438; 4
198; 2.0785; 4
199; 10.0749; 5
